,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
171,CL2280,LECTURE 1,60,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
172,CL2291,LECTURE 1,29,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
173,CL2291,LECTURE 1,30,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
174,CL2291,LECTURE 1,34,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
175,CL3201,LECTURE 1,15,4,1,1,50,ARTS & SOCIAL SCIENCES,Returning Students [P]
176,CL3201,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
177,CL3201,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
178,CL3204,LECTURE 1,24,1,100,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
179,CL3204,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
180,CL3204,LECTURE 1,15,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
181,CL3207,LECTURE 1,15,3,1,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
182,CL3207,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
183,CL3207,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
184,CL3221,LECTURE 1,9,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
185,CL3221,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
186,CL3221,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
187,CL3282,LECTURE 1,21,5,1,1,1000,ARTS & SOCIAL SCIENCES,Returning Students [P]
188,CL3282,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
