,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
947,LAB2201,LECTURE 1,15,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
948,LAB3201,LECTURE 1,11,5,1,1,900,ARTS & SOCIAL SCIENCES,Returning Students [P]
949,LAB3201,LECTURE 1,7,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
950,LAB3201,LECTURE 1,7,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
951,LAB3202,LECTURE 1,8,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
952,LAB3202,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
953,LAB3202,LECTURE 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
954,LAB4201,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
955,LAB4201,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
956,LAB4201,LECTURE 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
957,LAC1201,LECTURE 1,6,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
958,LAC1201,LECTURE 1,20,1,2,1,2,ARTS & SOCIAL SCIENCES,New Students [P]
959,LAC1201,LECTURE 1,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
960,LAC1201,LECTURE 2,6,3,200,1,990,ARTS & SOCIAL SCIENCES,Returning Students [P]
961,LAC1201,LECTURE 2,20,2,1,1,3,ARTS & SOCIAL SCIENCES,New Students [P]
962,LAC1201,LECTURE 2,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
963,LAC1201,LECTURE 3,6,4,1,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
964,LAC1201,LECTURE 3,20,3,1,1,50,ARTS & SOCIAL SCIENCES,New Students [P]
965,LAC1201,LECTURE 3,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
966,LAC1201,LECTURE 4,6,6,20,1,305,ARTS & SOCIAL SCIENCES,Returning Students [P]
967,LAC1201,LECTURE 4,20,2,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
968,LAC1201,LECTURE 4,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
969,LAC1201,LECTURE 5,6,2,899,1,1063,ARTS & SOCIAL SCIENCES,Returning Students [P]
970,LAC1201,LECTURE 5,20,1,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
971,LAC1201,LECTURE 5,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
972,LAC2201,LECTURE 1,12,6,27,1,1546,ARTS & SOCIAL SCIENCES,Returning Students [P]
973,LAC2201,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
974,LAC2201,LECTURE 1,13,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
975,LAC2201,LECTURE 2,12,3,1,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
976,LAC2201,LECTURE 2,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
977,LAC2201,LECTURE 2,13,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
978,LAC2201,LECTURE 3,12,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
979,LAC2201,LECTURE 3,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
980,LAC2201,LECTURE 3,13,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
981,LAC2202,LECTURE 1,12,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
982,LAC2202,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
983,LAC2202,LECTURE 1,13,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
984,LAC3201,LECTURE 1,12,1,500,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
985,LAC3201,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
