,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
1360,MKT3402,SECTIONAL TEACHING E1,6,6,489,1,1600,SCHOOL OF BUSINESS,NUS Students [G]
1361,MKT3402,SECTIONAL TEACHING E2,7,0,0,0,0,SCIENCE,Returning Students [P]
1362,MKT3402,SECTIONAL TEACHING E2,3,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
1363,MKT3402,SECTIONAL TEACHING E2,1,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
1364,MKT3402,SECTIONAL TEACHING E2,6,11,50,380,685,SCHOOL OF BUSINESS,NUS Students [G]
1365,MKT3402,SECTIONAL TEACHING E3,2,1,1,1,1,SCIENCE,Returning Students [P]
1366,MKT3402,SECTIONAL TEACHING E3,6,11,1,412,672,SCHOOL OF BUSINESS,NUS Students [G]
1367,MKT3412,SECTIONAL TEACHING F1,5,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
1368,MKT3418,SECTIONAL TEACHING G1,5,4,1,1,800,SCHOOL OF BUSINESS,Returning Students [P]
1369,MKT3418,SECTIONAL TEACHING G1,5,7,430,550,861,SCHOOL OF BUSINESS,NUS Students [G]
1370,MKT3418,SECTIONAL TEACHING G2,13,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1371,MKT3418,SECTIONAL TEACHING G2,5,11,1,431,503,SCHOOL OF BUSINESS,NUS Students [G]
1372,MKT3420,SECTIONAL TEACHING H1,6,4,1,1,600,SCHOOL OF BUSINESS,Returning Students [P]
1373,MKT3420,SECTIONAL TEACHING H1,5,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
1374,MKT3420,SECTIONAL TEACHING H2,8,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1375,MKT3420,SECTIONAL TEACHING H2,5,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
1376,MKT4411,SECTIONAL TEACHING J1,2,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
1377,MKT4412,SECTIONAL TEACHING K1,13,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1378,ML4103,LECTURE SL1,8,1,1,1,1,SCIENCE,Returning Students [P]
1379,ML4111,LECTURE SL1,8,2,1,1,100,SCIENCE,Returning Students [P]
1380,ML4223,LECTURE SL1,8,0,0,0,0,SCIENCE,Returning Students [P]
1381,ML4233,LECTURE SL1,8,1,1,1,1,SCIENCE,Returning Students [P]
1382,MLE1101,LECTURE 1,5,0,0,0,0,ENGINEERING,New Students [P]
1383,MLE1101,LECTURE 2,44,2,1,1,45,ENGINEERING,Returning Students [P]
1384,MLE1101,LECTURE 2,5,1,51,1,51,ENGINEERING,New Students [P]
1385,MLE2101,LECTURE 1,29,2,10,1,500,ENGINEERING,Returning Students [P]
1386,MLE2101,LECTURE 1,3,1,1,1,1,ENGINEERING,New Students [P]
1387,MLE2102,LECTURE 1,6,5,1,1,2244,ENGINEERING,Returning Students [P]
1388,MLE2102,LECTURE 1,3,0,0,0,0,ENGINEERING,New Students [P]
1389,MLE2106,LECTURE 1,29,0,0,0,0,ENGINEERING,Returning Students [P]
1390,MLE2107,LECTURE 1,31,0,0,0,0,ENGINEERING,Returning Students [P]
1391,MLE3104,LECTURE 1,31,0,0,0,0,ENGINEERING,Returning Students [P]
1392,MNO1001,LECTURE A1,3,8,400,850,1000,ENGINEERING,Returning Students [P]
1393,MNO1001,LECTURE A1,9,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1394,MNO1001,LECTURE A1,17,13,1,1,747,ENGINEERING,New Students [P]
1395,MNO1001,LECTURE A1,20,6,1,1,200,SCHOOL OF COMPUTING,New Students [P]
1396,MNO1001,LECTURE A1,80,16,1,1,600,SCHOOL OF BUSINESS,New Students [P]
1397,MNO1001,LECTURE A1,12,22,100,523,1474,SCHOOL OF BUSINESS,NUS Students [G]
1398,MNO1001,LECTURE A2,2,4,1000,1500,2280,ENGINEERING,Returning Students [P]
1399,MNO1001,LECTURE A2,5,6,1,1,701,SCHOOL OF COMPUTING,Returning Students [P]
1400,MNO1001,LECTURE A2,15,1,500,1,500,SCHOOL OF BUSINESS,Returning Students [P]
1401,MNO1001,LECTURE A2,17,9,2,1,750,ENGINEERING,New Students [P]
1402,MNO1001,LECTURE A2,10,11,2,4,133,SCHOOL OF COMPUTING,New Students [P]
1403,MNO1001,LECTURE A2,80,5,1,1,239,SCHOOL OF BUSINESS,New Students [P]
1404,MNO1001,LECTURE A2,10,16,10,450,1400,SCHOOL OF BUSINESS,NUS Students [G]
1405,MNO1001,LECTURE A3,4,9,12,500,1000,ENGINEERING,Returning Students [P]
1406,MNO1001,LECTURE A3,9,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1407,MNO1001,LECTURE A3,16,29,61,300,698,ENGINEERING,New Students [P]
1408,MNO1001,LECTURE A3,15,4,3,1,10,SCHOOL OF COMPUTING,New Students [P]
1409,MNO1001,LECTURE A3,30,11,1,1,125,SCHOOL OF BUSINESS,New Students [P]
1410,MNO1001,LECTURE A3,12,18,3,408,1500,SCHOOL OF BUSINESS,NUS Students [G]
1411,MNO2302,SECTIONAL TEACHING A2,3,5,500,678,891,SCHOOL OF BUSINESS,Returning Students [P]
1412,MNO2311,SECTIONAL TEACHING B1,7,3,1,1,1,ENGINEERING,Returning Students [P]
1413,MNO2311,SECTIONAL TEACHING B1,4,7,311,725,1000,SCHOOL OF BUSINESS,NUS Students [G]
1414,MNO2311,SECTIONAL TEACHING B2,3,0,0,0,0,ENGINEERING,Returning Students [P]
1415,MNO2311,SECTIONAL TEACHING B2,3,6,50,611,1000,SCHOOL OF BUSINESS,NUS Students [G]
1416,MNO2311,SECTIONAL TEACHING B3,1,1,1,1,1,ENGINEERING,Returning Students [P]
1417,MNO2311,SECTIONAL TEACHING B3,3,8,412,700,1070,SCHOOL OF BUSINESS,NUS Students [G]
1418,MNO3301,SECTIONAL TEACHING C1,9,9,100,1,900,SCHOOL OF BUSINESS,NUS Students [G]
1419,MNO3301,SECTIONAL TEACHING C2,9,7,1,1,1067,SCHOOL OF BUSINESS,NUS Students [G]
1420,MNO3303,SECTIONAL TEACHING D1,13,1,10,1,10,SCHOOL OF BUSINESS,Returning Students [P]
1421,MNO3303,SECTIONAL TEACHING D1,6,5,1,1,1007,SCHOOL OF BUSINESS,NUS Students [G]
1422,MNO3303,SECTIONAL TEACHING D2,3,3,300,1,350,SCHOOL OF BUSINESS,Returning Students [P]
1423,MNO3303,SECTIONAL TEACHING D2,6,5,1,1,250,SCHOOL OF BUSINESS,NUS Students [G]
1424,MNO3303,SECTIONAL TEACHING D3,2,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1425,MNO3303,SECTIONAL TEACHING D3,6,4,1,1,11,SCHOOL OF BUSINESS,NUS Students [G]
1426,MNO3313A,SECTIONAL TEACHING E1,17,3,1,1,50,SCHOOL OF BUSINESS,Returning Students [P]
1427,MNO3313F,SECTIONAL TEACHING G1,22,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
1428,MNO4312,SECTIONAL TEACHING H1,22,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1429,MNO4313C,SECTIONAL TEACHING J1,5,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1430,MNO4313E,SECTIONAL TEACHING K1,5,1,888,1,888,SCHOOL OF BUSINESS,Returning Students [P]
1431,MNO4313E,SECTIONAL TEACHING K2,12,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
1432,MS1101E,LECTURE 1,90,90,1,1,300,ARTS & SOCIAL SCIENCES,New Students [P]
1433,MS1101E,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1434,MS3209,LECTURE 1,67,16,1,1,1500,ARTS & SOCIAL SCIENCES,Returning Students [P]
1435,MS3209,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1436,MS3209,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1437,MS3210,LECTURE 1,15,2,300,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
1438,MS3210,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1439,MS3210,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1440,MS3211,LECTURE 1,19,4,1,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
1441,MS3211,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1442,MS3211,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1443,MS4880A,LECTURE 1,2,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
1444,MS4880A,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1445,MS4880C,LECTURE 1,2,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
1446,MS4880C,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1447,MUA1105,SECTIONAL TEACHING 1,10,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1448,MUA1105,SECTIONAL TEACHING 2,8,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1449,MUA1105,SECTIONAL TEACHING 3,3,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1450,MUA2111,SECTIONAL TEACHING 1,6,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1451,MUA2113,SECTIONAL TEACHING 1,6,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1452,MUA2207,SECTIONAL TEACHING 1,10,1,1,1,1,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1453,MUA3105,SECTIONAL TEACHING 2,8,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1454,MUA3111,SECTIONAL TEACHING 1,3,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1455,MUA3113,SECTIONAL TEACHING 1,3,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1456,MUA3205,SECTIONAL TEACHING 1,4,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1457,MUA3209,SECTIONAL TEACHING 1,15,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1458,MUA3210,SECTIONAL TEACHING 1,19,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1459,MUA3212,LECTURE 1,11,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1460,MUA3214,SECTIONAL TEACHING 1,10,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1461,MUA4113,SECTIONAL TEACHING 1,3,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1462,MUA4203,SECTIONAL TEACHING 1,14,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1463,MUH2115,LECTURE 1,18,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1464,MUH2115,LECTURE 2,17,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1465,MUH3115,SECTIONAL TEACHING 1,8,1,1,1,1,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1466,MUH4115,SECTIONAL TEACHING 1,4,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1467,MUH4115,SECTIONAL TEACHING 2,8,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1468,MUL2101,SECTIONAL TEACHING 1,10,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1469,MUL2101,SECTIONAL TEACHING 2,7,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1470,MUL2101,SECTIONAL TEACHING 3,10,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1471,MUL3201,SECTIONAL TEACHING 1,11,1,30,1,30,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1472,MUL3201,SECTIONAL TEACHING 2,3,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1473,MUL3201,SECTIONAL TEACHING 3,9,1,1,1,1,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1474,MUT2119,SECTIONAL TEACHING 1,7,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1475,MUT2119,SECTIONAL TEACHING 2,9,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1476,MUT2119,SECTIONAL TEACHING 3,10,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1477,MUT2125,SECTIONAL TEACHING 1,9,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1478,MUT2125,SECTIONAL TEACHING 2,5,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1479,MUT2125,SECTIONAL TEACHING 3,8,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1480,MUT3111,SECTIONAL TEACHING 1,7,1,30,1,30,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1481,MUT3111,SECTIONAL TEACHING 2,12,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1482,MUT4201,SECTIONAL TEACHING 1,12,0,0,0,0,YONG SIEW TOH CONSERVATORY OF MUSIC,Returning Students [P]
1483,NM1101E,LECTURE 1,1,2,1,1389,1389,ARTS & SOCIAL SCIENCES,Returning Students [P]
1484,NM1101E,LECTURE 1,4,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
1485,NM1101E,LECTURE 1,330,400,1,151,599,ARTS & SOCIAL SCIENCES,New Students [P]
1486,NM1101E,LECTURE 1,20,4,5,1,11,SCHOOL OF COMPUTING,New Students [P]
1487,NM1101E,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1488,NM2101,LECTURE 1,3,8,239,1244,1500,ARTS & SOCIAL SCIENCES,Returning Students [P]
1489,NM2101,LECTURE 1,25,14,1,1,110,ARTS & SOCIAL SCIENCES,New Students [P]
1490,NM2101,LECTURE 1,5,10,1,9,348,SCHOOL OF COMPUTING,New Students [P]
1491,NM2101,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1492,NM2201,LECTURE 1,13,19,123,396,2000,ARTS & SOCIAL SCIENCES,Returning Students [P]
1493,NM2201,LECTURE 1,20,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
1494,NM2201,LECTURE 1,15,5,1,1,30,ARTS & SOCIAL SCIENCES,New Students [P]
1495,NM2201,LECTURE 1,3,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
1496,NM2201,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1497,NM2208,LECTURE 1,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
1498,NM2210,LECTURE 1,16,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
1499,NM2210,LECTURE 1,3,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
1500,NM2216,LECTURE 1,23,22,1,1,888,ARTS & SOCIAL SCIENCES,Returning Students [P]
1501,NM2216,LECTURE 1,8,9,64,500,1500,SCHOOL OF COMPUTING,Returning Students [P]
1502,NM2216,LECTURE 1,15,6,1,1,200,ARTS & SOCIAL SCIENCES,New Students [P]
1503,NM2216,LECTURE 1,2,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
1504,NM2216,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1505,NM2217,LECTURE 1,8,7,10,1,1000,SCHOOL OF COMPUTING,Returning Students [P]
1506,NM2217,LECTURE 1,2,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
1507,NM2217,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1508,NM2219,LECTURE 1,6,14,101,1234,2356,ARTS & SOCIAL SCIENCES,Returning Students [P]
1509,NM2219,LECTURE 1,25,7,1,1,204,ARTS & SOCIAL SCIENCES,New Students [P]
1510,NM2219,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1511,NM2220,LECTURE 1,5,2,200,1,210,ARTS & SOCIAL SCIENCES,New Students [P]
1512,NM2220,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1513,NM3215,LECTURE 1,8,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
1514,NM3215,LECTURE 1,1,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
1515,NM3216,LECTURE 1,2,2,500,1,2200,ARTS & SOCIAL SCIENCES,Returning Students [P]
1516,NM3216,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1517,NM3217,LECTURE 1,38,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1518,NM3217,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1519,NM3220,LECTURE 1,3,3,5,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
1520,NM3223,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1521,NM3223,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1522,NM4101,SECTIONAL TEACHING 1,16,14,5,1,1700,ARTS & SOCIAL SCIENCES,Returning Students [P]
1523,NM4206,SECTIONAL TEACHING 1,12,7,1,1,600,ARTS & SOCIAL SCIENCES,Returning Students [P]
1524,NM4880C,SECTIONAL TEACHING 1,18,6,1,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
1525,NM5206,SECTIONAL TEACHING 1,21,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1526,NM5207,SECTIONAL TEACHING 1,19,2,250,1,903,ARTS & SOCIAL SCIENCES,Returning Students [P]
1527,NM5208,SECTIONAL TEACHING 1,54,2,1,1,900,ARTS & SOCIAL SCIENCES,Returning Students [P]
1528,PC1141,LECTURE SL1,7,9,3,300,1000,SCIENCE,Returning Students [P]
1529,PC1141,LECTURE SL1,180,83,1,1,200,SCIENCE,New Students [P]
1530,PC1141,LECTURE SL1,30,0,0,0,0,SCIENCE,Reserved for [G] in later round
1531,PC1142,LECTURE SL1,9,1,500,1,500,SCIENCE,Returning Students [P]
1532,PC1142,LECTURE SL1,180,68,1,1,200,SCIENCE,New Students [P]
1533,PC1142,LECTURE SL1,30,0,0,0,0,SCIENCE,Reserved for [G] in later round
1534,PC1221,LECTURE SL1,32,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
1535,PC1221,LECTURE SL1,10,13,25,100,400,SCIENCE,New Students [P]
1536,PC1221,LECTURE SL1,40,5,1,1,10,SCHOOL OF COMPUTING,New Students [P]
1537,PC1221,LECTURE SL1,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1538,PC1222,LECTURE SL1,18,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
1539,PC1222,LECTURE SL1,5,1,100,1,100,SCIENCE,New Students [P]
1540,PC1222,LECTURE SL1,10,3,1,1,12,SCHOOL OF COMPUTING,New Students [P]
1541,PC1222,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1542,PC1322,LECTURE SL1,20,30,2,347,597,SCIENCE,New Students [P]
1543,PC1322,LECTURE SL1,90,0,0,0,0,SCIENCE,Reserved for [G] in later round
1544,PC1323,LECTURE SL1,2,6,10,1000,1017,SCIENCE,Returning Students [P]
1545,PC1323,LECTURE SL1,15,8,1,1,50,SCIENCE,New Students [P]
1546,PC1323,LECTURE SL1,65,0,0,0,0,SCIENCE,Reserved for [G] in later round
1547,PC1327,LECTURE SL1,20,27,18,100,551,SCIENCE,New Students [P]
1548,PC1327,LECTURE SL1,90,0,0,0,0,SCIENCE,Reserved for [G] in later round
1549,PC1431,LECTURE 1,3,2,1,1,100,SCIENCE,Returning Students [P]
1550,PC1431,LECTURE 1,5,1,15,1,15,SCIENCE,New Students [P]
1551,PC1431,LECTURE 1,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1552,PC1431,LECTURE 2,1,0,0,0,0,SCIENCE,Returning Students [P]
1553,PC1431,LECTURE 2,5,1,2,1,2,SCIENCE,New Students [P]
1554,PC1431,LECTURE 2,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1555,PC1431,LECTURE 3,2,0,0,0,0,SCIENCE,Returning Students [P]
1556,PC1431,LECTURE 3,5,2,1,1,1,SCIENCE,New Students [P]
1557,PC1431,LECTURE 3,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1558,PC1432,LECTURE 1,3,0,0,0,0,SCIENCE,Returning Students [P]
1559,PC1432,LECTURE 1,16,4,1,1,50,SCHOOL OF COMPUTING,Returning Students [P]
1560,PC1432,LECTURE 1,5,1,1,1,1,SCIENCE,New Students [P]
1561,PC1432,LECTURE 1,40,3,1,1,5,SCHOOL OF COMPUTING,New Students [P]
1562,PC1432,LECTURE 1,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1563,PC2130,LECTURE SL1,1,2,2,200,200,SCIENCE,Returning Students [P]
1564,PC2130,LECTURE SL1,20,0,0,0,0,SCIENCE,New Students [P]
1565,PC2130,LECTURE SL1,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1566,PC2131,LECTURE SL1,7,1,1,1,1,SCIENCE,Returning Students [P]
1567,PC2131,LECTURE SL1,20,0,0,0,0,SCIENCE,New Students [P]
1568,PC2131,LECTURE SL1,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1569,PC2193,LECTURE SL1,18,2,1,1,1577,SCIENCE,Returning Students [P]
1570,PC2193,LECTURE SL1,20,0,0,0,0,SCIENCE,New Students [P]
1571,PC2193,LECTURE SL1,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1572,PC2231,LECTURE SL1,54,1,20,1,20,SCIENCE,Returning Students [P]
1573,PC2231,LECTURE SL1,20,0,0,0,0,SCIENCE,New Students [P]
1574,PC2231,LECTURE SL1,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1575,PC2267,LECTURE SL1,75,0,0,0,0,SCIENCE,Returning Students [P]
1576,PC2267,LECTURE SL1,10,0,0,0,0,SCIENCE,New Students [P]
1577,PC2267,LECTURE SL1,30,0,0,0,0,SCIENCE,Reserved for [G] in later round
1578,PC3193,LECTURE SL1,36,0,0,0,0,SCIENCE,Returning Students [P]
1579,PC3193,LECTURE SL1,20,0,0,0,0,SCIENCE,Reserved for [G] in later round
1580,PC3231,LECTURE SL1,31,0,0,0,0,SCIENCE,Returning Students [P]
1581,PC3231,LECTURE SL1,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1582,PC3233,LECTURE SL1,26,1,50,1,50,SCIENCE,Returning Students [P]
1583,PC3233,LECTURE SL1,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1584,PC3235,LECTURE SL1,18,0,0,0,0,SCIENCE,Returning Students [P]
1585,PC3235,LECTURE SL1,10,0,0,0,0,SCIENCE,Reserved for [G] in later round
1586,PC3242,LECTURE SL1,19,0,0,0,0,SCIENCE,Returning Students [P]
1587,PC3242,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1588,PC3274,LECTURE SL1,6,0,0,0,0,SCIENCE,Returning Students [P]
1589,PC3274,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1590,PC4130,LECTURE SL1,13,1,2,1,2,SCIENCE,Returning Students [P]
1591,PC4130,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1592,PC4241,LECTURE SL1,33,0,0,0,0,SCIENCE,Returning Students [P]
1593,PC4241,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1594,PC4244,LECTURE SL1,33,2,50,1,100,SCIENCE,Returning Students [P]
1595,PC4244,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1596,PC4246,LECTURE SL1,36,1,1,1,1,SCIENCE,Returning Students [P]
1597,PC4246,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1598,PC4248,LECTURE SL1,38,0,0,0,0,SCIENCE,Returning Students [P]
1599,PC4248,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1600,PC4250,LECTURE SL1,27,1,2,1,2,SCIENCE,Returning Students [P]
1601,PC4250,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1602,PC4259,LECTURE SL1,28,1,2,1,2,SCIENCE,Returning Students [P]
1603,PC4259,LECTURE SL1,10,0,0,0,0,ENGINEERING,Returning Students [P]
1604,PC4259,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1605,PC4267,LECTURE SL1,39,1,1,1,1,SCIENCE,Returning Students [P]
1606,PC4267,LECTURE SL1,5,0,0,0,0,SCIENCE,Reserved for [G] in later round
1607,PF1101,LECTURE 1,3,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
1608,PF1101,LECTURE 1,150,116,1,1,250,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
1609,PF1102,LECTURE 1,2,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
1610,PF1102,LECTURE 1,150,165,1,2,550,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
1611,PF1102,LECTURE 2,2,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
1612,PF1102,LECTURE 2,146,85,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
1613,PF2101,LECTURE 1,9,4,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
1614,PF2101,LECTURE 1,3,10,2,451,720,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
1615,PF2102,LECTURE 1,12,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
1616,PF2102,LECTURE 1,150,42,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
1617,PF2201,LECTURE 1,30,13,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
1618,PF2301,LECTURE 1,27,9,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
1619,PF3101,LECTURE 1,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
1620,PF3101,LECTURE 1,25,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1621,PH1101E,LECTURE 1,3,3,1,1,1000,ARTS & SOCIAL SCIENCES,Returning Students [P]
1622,PH1101E,LECTURE 1,340,322,1,1,442,ARTS & SOCIAL SCIENCES,New Students [P]
1623,PH1101E,LECTURE 1,8,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
